name,lat,lng,country_id,place_type_id
Bolivar,10.41399896,-75.53400259,44,2
Bolivar,-1.605995973,-79.00299864,59,2
Bolivar,8.127000067,-63.55299561,224,2
Bolu,40.73900393,31.61199636,212,2
Bondoukou,8.027999965,-2.791997607,50,2
Bong,7.00000207,-9.483299574,115,2
Bongouanou,6.650000987,-4.200002578,50,2
Boqueron,-22.03000208,-60.60999566,160,2
Borgou,9.330003054,2.626002426,21,2
Borkou-Ennedi-Tibesti,17.92999801,19.11999636,39,2
Bornholm,55.11670198,14.71670141,55,2
Borno,11.85100197,13.16099731,149,2
Borsod-Abauj-Zemplen,48.10499998,20.79999937,92,2
Bosnia & Herzegovina,43.86999596,18.43000231,25,2
Botosani,47.74599907,26.66700043,169,2
Bouafle,6.977997046,-5.748002587,50,2
Bouake,7.687998066,-5.030999623,50,2
Bouenza,-4.16400299,13.55400032,46,2
Bougouriba,10.95200107,-3.248000572,31,2
Bouira,36.38099706,3.897000331,3,2
Boulgou,11.77399795,-0.359000587,31,2
Boulkiemde,12.24899993,-2.364002586,31,2
Bouna,9.269000978,-2.991995696,50,2
Boundiali,9.522000008,-6.488999689,50,2
Bourdj Bou Arrer,36.05900392,4.629996298,3,2
Bourgogne,47.31800405,5.036004333,70,2
Boyaca,5.546996963,-73.36199664,44,2
Braga,41.54499904,-8.426996692,165,2
Braganca,41.80799692,-6.755003584,165,2
Braila,45.29199605,27.96900335,169,2
Brakna,17.05799693,-13.90899571,127,2
Brandenburg,52.39500299,12.92000429,77,2
Brasov,45.65600102,25.61100336,169,2
Bratislava,48.14999996,17.12999744,181,2
Bremen,53.31500104,8.720649336,77,2
Brest,52.09599603,23.70300341,18,2
Bretagne,48.25115101,-3.088498154,70,2
British Columbia,50.67976796,-125.5480226,35,2
British Virgin Is.,18.40906808,-64.62170066,28,2
Brokopondo,5.066702983,-54.96669856,196,2
Brong-Ahafo,7.335998933,-2.336003578,78,2
Brunei,4.932998971,114.9669994,29,2
Bruxelles-Brussel,50.83700397,4.367997439,19,2
Bryanskaya oblast',53.25699596,34.44800434,170,2
Bubanza,-3.083301032,29.36670332,32,2
Bucuresti,44.43048001,26.12296843,169,2
Budapest,47.51499596,19.09400434,92,2
Buenos Aires,-36.82098448,-60.11203009,9,2
Bujumbura,-3.372002996,29.35600232,32,2
Bukhara,39.76599592,64.42200043,222,2
Bulgan,48.81400198,103.5549994,134,2
Bur Sa'id,31.25699993,32.29200033,60,2
Burdur,37.71666002,30.28333535,212,2
Burgas,42.52799696,27.46400431,30,2
Burgenland,47.83329898,16.53329729,13,2
Buriram,14.99599806,103.1120013,204,2
Bursa,40.19599793,29.07500428,212,2
Bururi,-3.951000036,29.61199843,32,2
Bushehr,28.92200399,50.83299932,96,2
Buskerud,59.69999697,10.19999737,154,2
Busoga,0.4380030775,33.20299829,216,2
Butare,-2.600001041,29.73200436,171,2
Butha-Buthe,-28.74999594,28.25000139,114,2
Buzau,45.14799598,26.8229974,169,2
Bydgoszcz,53.11199702,18.02899834,164,2
Byumba,-1.580003951,30.06299733,171,2
Caaguazu,-25.45299897,-56.42800168,160,2
Caazapa,-26.19999899,-56.36799863,160,2
Cabanas,13.86669603,-88.63329569,61,2
Cabinda,-5.556995945,12.18999629,6,2
Cabo Delgado,-12.96665999,40.50000041,138,2
Cacheu,12.26899797,-16.16499869,88,2
Cajamarca,-7.16200193,-78.5109957,161,2
Calabria,38.90400296,16.59099631,101,2
Calarasi,44.20400404,27.41100337,169,2
Caldas,5.067000026,-75.51800065,44,2
California,36.373806,-120.5495847,220,2
Callao,-12.05700294,-77.1440037,161,2
Camaguey,21.38599797,-77.91399867,52,2
Campania,40.83336006,14.25002442,101,2
Campeche,19.85499892,-90.52599568,130,2
Can Tho,10.03200294,105.7840024,225,2
Canakkale,40.15500299,26.41400139,212,2
Canar,-2.750004035,-78.84399565,59,2
Canarias,28.30835252,-15.83335314,188,2
Canelones,-34.53800403,-56.2840016,221,2
Canindeyu,-24.04999806,-54.28330168,160,2
Cankiri,40.60700092,33.6210034,212,2
Cankuzo,-3.166703969,30.51669643,32,2
Cantabria,43.46261094,-3.800537601,188,2
Canterbury,-43.52400004,172.6380003,146,2
Cao Bang,22.66399798,106.2680044,225,2
Cape Verde,14.92299908,-23.52099556,36,2
Caqueta,1.60599601,-75.61500271,44,2
Carabobo,10.17800106,-68.00300063,224,2
Caras-Severin,45.29099703,21.89199642,169,2
Carazo,11.84599807,-86.19499757,147,2
Carchi,0.8219969864,-77.73200057,59,2
Cartago,9.856998012,-83.9210037,49,2
Casanare,5.346999039,-72.4059987,44,2
Castelo Branco,39.81099606,-7.487999716,165,2
Castilla y Leon,41.65000206,-4.721003718,188,2
Castilla-La Mancha,39.85900204,-4.028003661,188,2
Cataluna,41.35799704,2.159001417,188,2
Catamarca,-28.46600099,-65.78099958,9,2
Cauca,2.420001027,-76.60400372,44,2
Cayenne,4.934997021,-52.32999562,71,2
Cayman Is.,19.29999602,-81.38332767,37,2
Cayo,17.13799802,-88.9305026,20,2
Ceara,-3.782997054,-38.58900257,27,2
Central,-22.38900299,26.71100137,26,2
Central,5.104998053,-1.247003608,78,2
Central,-0.4169970411,36.95100343,107,2
Central,-13.98300304,33.7740033,121,2
Central,-25.35550195,-57.4524986,160,2
Central,7.283997017,80.63700331,189,2
Central,0.3230010361,32.57499641,216,2
Central,-14.44699804,28.4470024,230,2
Central Equatoria,4.844060771,31.59711856,187,2
Central Greece and Evvoia,38.266431,23.25846036,80,2
Centre,3.864996064,11.51399737,34,2
Centre,47.91400205,1.906002387,70,2
Centre,19.14300002,-72.0039957,90,2
Centre,33.60500107,-7.631999625,137,2
Centre-North,34.04400307,-4.99599867,137,2
Centre-South,33.90399893,-5.556995556,137,2
Centro Sur,1.449999033,10.56670238,62,2
Cerro Largo,-32.36300099,-54.17700259,221,2
Cesar,10.46700007,-73.25099963,44,2
Ceuta,35.88329702,-5.316695576,188,2
Ch'ungch'ong-bukto,36.63500405,127.4979963,186,2
Ch'ungch'ong-namdo,36.32400002,127.4339973,186,2
Chachoengsao,13.67900099,101.0760034,204,2
Chaco,-27.45700194,-58.98699862,9,2
Chaco,-19.96669804,-60.74999963,160,2
Chagang-do,40.96899908,126.5959984,152,2
Chahar Mahall va Bakhtiari,32.32099797,50.85399638,96,2
Chai Nat,15.17900395,100.1259994,204,2
Chaiyaphum,15.79799707,102.0400023,204,2
Chalatenango,14.07200399,-89.09399657,61,2
Champagne-Ardenne,49.23800107,4.030002361,70,2
Champasak,14.88330004,105.8667034,111,2
Chandigarh,30.73799701,76.78400442,94,2
Chanthaburi,12.60600296,102.1169974,204,2
Chardzhou,39.08799895,63.5730034,213,2
Chari-Baguirmi,12.10413603,15.2408254,39,2
Chechenskaya Respublika,43.31099696,45.68400042,170,2
Cheju-do,33.50819694,126.5333403,186,2
Chelm,51.13299598,23.49600338,164,2
Chelyabinskaya oblast',55.14499803,61.39299631,170,2
Cherkassy,49.44400207,32.08100436,217,2
Chernigov,51.50400306,31.31199931,217,2
Chernovtsy,48.28200296,25.94500234,217,2
Chiang Mai,18.78699602,99.0000003,204,2
Chiang Rai,19.90600198,99.83300433,204,2
Chiapas,16.74399599,-93.10899569,130,2
Chihuahua,28.630998,-106.0739996,130,2
Chimaltenango,14.66199908,-90.81999858,85,2
Chimborazo,-1.671002919,-78.64499659,59,2
Chimbu,-6.022997929,144.9600124,159,2
Chimkent,42.30299694,69.57299738,106,2
Chin State,22.65000303,93.61670434,139,2
Chinandega,12.62400295,-87.12999861,147,2
Chiquimula,14.79699899,-89.54399661,85,2
Chiriqui,8.427995978,-82.43099959,158,2
Chitinskaya oblast',51.18750001,112.1245024,170,2
Chittagong,22.329999,91.82500234,16,2
Chobe,-17.83330207,25.08329732,26,2
Choco,5.690997037,-76.65399865,44,2
Cholla-bukto,35.81666105,127.1333253,186,2
Choluteca,13.30299895,-87.19399759,91,2
Chon Buri,13.36799696,100.9870023,204,2
Chonburi,12.928,100.877,204,2
Chontales,12.104001,-85.37000361,147,2
Christmas I.,-10.41669896,105.7167004,42,2
Chubu,35.2824975,136.8414994,103,2
Chubut,-44.5649985,-66.29999812,9,2
Chugoku,34.16399999,131.6891524,103,2
Chukotskiy avtonomnyy okrug,64.75527006,177.4802524,170,2
Chumphon,10.49300103,99.17700344,204,2
Chuquisaca,-19.04200199,-65.25600267,24,2
Chuvashskaya Respublika,56.15000098,47.25000042,170,2
Ciechanow,52.88200204,20.62199737,164,2
Ciego de Avila,21.84100207,-78.76299571,52,2
Cienfuegos,22.14999895,-80.44399758,52,2
Ciudad de la Habana,23.04895501,-82.41645556,52,2
Clarendon,17.969004,-77.24300364,102,2
Cluj,46.77699594,23.59999844,169,2
Coahuila,25.41799805,-100.9940036,130,2
Coast,-4.05094505,39.65489141,107,2
Cochabamba,-17.384004,-66.16700064,24,2
Cocle,8.513000962,-80.35499666,158,2
Cocos Is.,-12.15753294,96.82607738,43,2
Coimbra,40.21299906,-8.415998648,165,2
Cojedes,9.657998947,-68.58999864,224,2
Colima,19.25099995,-103.7349986,130,2
Colon,15.91661708,-85.94862268,91,2
Colon,9.355113048,-79.89534859,158,2
Colonia,-34.47999902,-57.84000258,221,2
Colorado,39.578004,-105.0789957,220,2
Comayagua,14.45400002,-87.64299861,91,2
Commewijne,5.911001935,-55.07299765,196,2
Comoe,10.62700208,-4.758002554,31,2
Comoros,-11.70000008,43.24300243,45,2
Conakry,9.549999016,-13.67199862,87,2
Concepcion,-23.402997,-57.42899959,160,2
Connacht,53.27100001,-9.064997593,98,2
Connecticut,41.76000004,-72.70299867,220,2
Constanta,44.13300295,28.63099839,169,2
Constantine,36.36,6.608997339,3,2
Cook Is.,-21.23330401,-159.7666946,48,2
Copan,14.76600307,-88.77799758,91,2
Copperbelt,-12.96800107,28.6340044,230,2
Coquimbo,-29.92999951,-71.28850012,40,2
Cordillera,-25.38700193,-57.14000058,160,2
Cordoba,-31.31600392,-64.17999863,9,2
Cordoba,8.756999998,-75.88199669,44,2
Coronie,5.883299971,-56.31669869,196,2
Corozal,18.39799805,-88.38800059,20,2
Corrientes,-27.486999,-58.81799661,9,2
Corse,41.96099699,8.661996384,70,2
Cortes,15.50199595,-88.02800065,91,2
Corum,40.55399998,34.96400142,212,2
Cotopaxi,-0.9320040319,-78.6059997,59,2
Covasna,45.86799602,25.79300129,169,2
Crete,35.33799592,25.13400333,80,2
Crimean,44.96200194,34.10399741,217,2
Croatia,45.57015001,15.19865139,51,2
Cross River,4.957002045,8.314002287,149,2
Csongrad,46.25600406,20.15700335,92,2
Cuando Cubango,-14.79999603,17.8667014,6,2
Cuanza Norte,-9.297998973,14.91399931,6,2
Cuanza Sul,-11.20899599,13.84900241,6,2
Cunene,-17.04999592,15.78330036,6,2
Cuscatlan,13.71670197,-88.93330168,61,2
Cusco,-13.52600105,-71.98700367,161,2
Cuvette,-0.4833000549,15.91669839,46,2
Cyangugu,-2.496069029,28.88979332,171,2
Czestochowa,50.81000398,19.11899733,164,2
Dabakala,8.357003985,-4.419998705,50,2
Dabola,10.74799794,-11.10899664,87,2
Dac Lac,12.66666298,108.0500044,225,2
Dadra and Nagar Haveli,20.19154503,73.00179033,94,2
Dahuk,36.86670004,43.00000242,97,2
Dajabon,19.54799993,-71.70499767,58,2
Dakar,14.68700101,-17.4519987,176,2
Dakhlet Nouadhibou,20.90005206,-17.0667357,127,2
Dalaba,10.65599995,-12.27200372,87,2
Daloa,6.882002955,-6.445997602,50,2
Daman & Diu,20.416365,72.84999631,94,2
Danane,7.26100207,-8.153999624,50,2
Daoukro,7.052003986,-3.959000616,50,2
Dar es Salaam,-6.817356064,39.2533473,203,2
Dar'a,32.62500006,36.10500331,201,2
Darfur,13.62699907,25.35000336,195,2
Darhan,49.90246198,106.1763304,134,2
Darien,8.397864051,-78.13726161,158,2
Darnah,32.75400599,22.63899644,116,2
Dayr az Zawr,35.33599804,40.15400436,201,2
Delaware,39.12900298,-75.5250026,220,2
Delhi,28.61769601,77.21670637,94,2
Delta,6.192998998,6.740001319,149,2
Delta Amacuro,9.056997049,-62.04999557,224,2
Demerara-Mahaica,6.769997988,-58.16999669,89,2
Denizli,37.77699603,29.08600233,212,2
Dhaka,23.70991494,90.40714232,16,2
Dhamar,14.55000305,44.39300431,229,2
Dhawalagiri,28.26669598,83.58329738,142,2
Dhi Qar,31.04299795,46.25600429,97,2
Dibre,41.68330201,20.4333033,2,2
Diekirch,49.88330095,6.166701386,119,2
